id,first_name,last_name,nationality,gender,date_of_birth
897,Hong,Zhang,CHN,F,1988-04-12
913,Karolina,Erbanova,CZE,F,1992-10-27
118,Yuliya,Skokova,RUS,F,1982-12-01
637,Miyako,Sumiyoshi,JPN,F,1987-03-19
314,Claudia,Pechstein,GER,F,1972-02-22
821,Olga,Fatkulina,RUS,F,1990-01-23
131,Beixing,Wang,CHN,F,1985-03-10
861,Kelly,Gunther,USA,F,1987-08-14
147,Tamara,Oudenaarden,CAN,F,1987-08-11
135,Jennifer,Plate,GER,F,1986-08-17
126,Bo-Ra,Lee,KOR,F,1986-08-16
315,Svetlana,Radkevich,BLR,F,1979-10-09
917,Natalia,Czerwonka,POL,F,1988-10-20
896,Kaitlyn,McGregor,SUI,F,1994-03-03
942,Elina,Risku,FIN,F,1992-03-07
668,Hyun-Yung,Kim,KOR,F,1994-10-19
178,Tae-Bum,Mo,KOR,M,1989-02-15
449,Nan,Wang,CHN,M,1987-05-28
959,Pekka,Koskela,FIN,M,1982-11-29
727,Håvard Holmefjord,Lorentzen,NOR,M,1992-10-02
67,Mika,Poutala,FIN,M,1983-06-20
460,Håvard,Bøkko,NOR,M,1987-02-02
259,Mitchell,Whitmore,USA,M,1989-12-18
847,Konrad,Niedzwiedzki,POL,M,1985-01-02
516,Kyle,Parrott,CAN,M,1985-09-13
96,Christoffer,Fagerli Rukke,NOR,M,1988-04-17
947,Ryohei,Haga,JPN,M,1988-09-17
467,Aleksandr,Gluschenko,KAZ,M,1987-03-17
663,Espen Aarnes,Hvammen,NOR,M,1988-11-13
646,Jong-Woo,Lee,KOR,M,1985-07-05
974,Igor,Nefedyev,RUS,M,1986-08-02
224,Marius,Paraschivoiu,ROU,M,1990-06-07
120,Bejamin,Macé,FRA,M,1989-05-16
14,Joel,Eriksson,SWE,M,1984-09-16
503,Daniel,Greig,AUS,M,1991-03-13
489,Christine,Nesbitt,CAN,F,1985-05-17
233,Margot,Boer,NED,F,1985-08-07
401,Marrit,Leenstra,NED,F,1989-05-10
64,Laurine,van Riessen,NED,F,1987-08-10
547,Sang-Hwa,Lee,KOR,F,1989-02-25
854,Yekaterina,Shikhova,RUS,F,1985-06-25
845,Heather,Bergsma,USA,F,1989-03-20
402,Jing,Yu,CHN,F,1985-05-29
826,Yekaterina,Malysheva,RUS,F,1987-01-28
782,Maki,Tsuji,JPN,F,1985-04-27
456,Ireen,Wüst,NED,F,1986-04-01
363,Yekaterina,Lobysheva,RUS,F,1985-03-13
25,Thijsje,Oenema,NED,F,1988-06-06
714,Miho,Takagi,JPN,F,1994-05-22
437,Judith,Dannhauer,GER,F,1982-09-03
555,Brittany,Bowe,USA,F,1988-02-24
423,Gabriele,Hirschbichler,GER,F,1983-12-26
701,Shannon,Rempel,CAN,F,1984-11-26
936,Nao,Kodaira,JPN,F,1986-05-26
520,Ida,Njåtun,NOR,F,1991-02-06
796,Anastasia,Bucsis,CAN,F,1989-04-30
660,Cindy,Klassen,CAN,F,1979-08-12
333,Monique,Angermüller,GER,F,1984-01-27
424,Hege,Bøkko,NOR,F,1991-09-05
891,Stefan,Groothuis,NED,M,1981-11-23
66,Kjeld,Nuis,NED,M,1989-11-10
836,Denny,Morrison,CAN,M,1985-09-08
649,Sjoerd,de Vries,NED,M,1988-06-15
99,Shani,Davis,USA,M,1982-08-13
697,Samuel,Schwarz,GER,M,1983-08-22
479,Pim,Schipper,NED,M,1988-10-02
104,Kyou-Hyuk,Lee,KOR,M,1978-03-16
35,Brian,Hansen,USA,M,1990-09-03
157,Yevgeny,Lalenkov,RUS,M,1981-02-16
123,Denis,Kuzin,KAZ,M,1988-12-04
595,Jamie,Gregg,CAN,M,1985-03-18
65,Mirko Giacomo,Nenzi,ITA,M,1989-11-14
844,Mikael,Flygind-Larsen,NOR,M,1982-09-18
497,Alexey,Yesin,RUS,M,1987-12-03
613,Michel,Mulder,NED,M,1986-02-27
672,Aleksandr,Lebedev,RUS,M,1987-05-29
835,Kang-Seok,Lee,KOR,M,1985-02-28
728,Yuji,Kamijo,JPN,M,1986-04-17
969,Lucas,Makowsky,CAN,M,1987-05-30
405,Gilmore,Junio,CAN,M,1990-08-06
222,Dmitry,Lobkov,RUS,M,1981-02-02
238,Matteo,Anesi,ITA,M,1984-08-16
153,Roman,Krech,KAZ,M,1989-07-14
